Country,EdLevel,YearsCode,Employment,ConvertedComp
22,3,8,2,27492
151,0,4,0,68000
28,0,5,0,55211
138,0,4,0,36456
151,0,9,0,119820
69,2,6,0,32429
149,2,20,0,581667
151,0,10,0,100000
151,0,0.5,0,65000
149,1,2,0,32315
151,0,5,0,73000
151,3,3,0,110000
151,1,20,0,150000
151,1,20,0,115000
151,0,2,0,70338
151,2,20,0,154000
50,3,14,0,107017
151,2,5,0,68000
50,0,2,0,47563
149,1,4,0,372264
28,1,1,0,33900
50,2,4,0,50266
62,0,3,0,10471
149,0,6,0,46533
151,0,3,0,108000
151,0,7,0,118500
151,0,3,0,60000
151,0,2,0,70000
151,0,16,0,140000
28,0,27,0,77144
149,0,13,0,84019
77,1,4,0,312
151,0,3,0,180000
50,2,12,0,45396
151,0,2,0,95000
151,2,13,0,115000
151,0,5,0,140000
151,0,15,0,156000
28,0,12,0,55967
151,0,13,0,1500000
33,2,26,0,45288
42,0,1,0,6000
151,0,17,0,100000
149,0,3,0,40070
151,3,30,0,250000
50,0,8,0,81074
151,2,1,0,59999
149,2,10,0,84019
28,0,8,0,71850
112,0,2,0,25272
5,0,14,0,14796
28,0,6,0,71494
28,2,0.5,0,48950
64,0,4,0,25656
151,0,18,0,156500
151,2,20,0,175000
151,0,10,0,98000
22,0,7,0,12372
47,1,10,0,45396
151,0,24,0,140000
28,2,2,0,52942
151,0,5,0,98000
151,0,5,0,90000
151,3,1,0,50000
28,0,7,0,98321
151,2,20,0,150000
66,3,8,0,151337
113,2,2,0,12324
131,3,7,0,415092
151,0,1,0,60000
91,0,9,0,48478
22,0,15,0,32070
151,1,6,0,119200
51,0,4,0,8544
144,0,2,0,575
22,0,18,0,32070
28,0,4,0,68824
151,2,13,0,175000
28,0,15,0,137271
151,1,25,0,95000
151,2,6,0,88000
50,0,10,1,42804
1,0,2,0,10812
105,2,2,0,75527
69,2,14,0,37834
151,1,13,0,150000
107,0,6,0,17124
151,0,8,0,56083
151,0,5,0,105000
95,1,5,0,8256
151,0,6,0,100000
48,2,4,0,54049
151,0,30,0,112500
151,1,2,0,88800
151,2,25,0,130000
151,1,21,0,126000
151,0,17,0,150000
151,1,11,0,120000
151,0,10,0,95000
151,2,4,0,67000
151,0,30,0,150000
151,0,19,0,159000
151,0,21,0,120000
151,3,11,0,150000
151,0,16,2,249000
62,2,8,0,34206
69,1,3,0,17508
48,0,3,0,37834
151,0,5,0,87000
143,2,4,0,12624
151,0,8,0,94000
50,2,2,0,51888
28,0,3,0,35395
151,2,5,0,72000
28,0,8,2,127056
41,3,10,0,48000
151,2,9,0,94000
151,0,7,0,250000
28,2,5,0,85085
149,2,12,0,67215
69,1,10,0,38916
60,2,6,0,38484
62,0,3,0,5028
28,0,10,0,30253
151,1,1,0,74000
151,0,21,0,100300
22,2,10,0,24744
151,0,15,0,72000
107,0,3,2,192
50,2,12,0,51888
151,0,7,0,98000
151,2,23,0,200000
151,0,2,0,64400
57,1,2,0,38364
147,0,4,0,29364
28,0,22,0,75631
5,3,25,0,35028
151,1,30,0,150000
22,0,2,0,15120
28,3,13,0,151263
151,0,0.5,2,16250
136,0,6,1,76237
151,0,13,0,150000
151,2,10,0,185000
151,0,0.5,0,2000000
151,1,22,0,156000
151,0,1,0,75000
149,1,7,2,23267
149,0,11,0,81433
50,2,9,0,73507
151,2,5,0,110000
151,0,9,0,107000
151,0,7,0,150000
151,0,4,0,90000
151,3,30,0,175000
135,2,2,0,38456
82,1,12,0,51888
149,3,17,0,958584
151,0,10,0,140000
151,0,3,0,60000
151,1,1,0,50000
151,0,2,2,45000
151,2,20,0,150000
151,3,12,0,166500
151,3,20,0,112000
43,3,9,0,6000
48,2,5,0,70264
62,0,2,0,39093
151,0,2,2,2000000
151,0,4,0,90000
50,2,7,0,46915
58,0,8,0,29436
28,1,16,0,75631
149,1,1,0,25852
151,3,14,0,55000
151,3,10,0,118000
151,2,2,0,120000
36,0,2,2,14544
151,0,0.5,0,52000
149,2,2,0,38778
149,0,7,0,68184
28,1,27,0,75631
151,0,32,0,170000
151,3,50,2,250000
151,2,6,0,130000
62,0,8,0,30716
151,1,3,0,2000000
112,0,40,2,36444
151,2,20,0,350000
28,0,5,0,109665
50,0,2,2,2592
151,0,3,0,115000
151,0,4,0,170000
149,1,10,0,116333
110,0,2,0,3300
48,1,19,2,129720
151,0,5,0,85000
151,0,20,0,120000
151,0,5,0,130000
151,0,13,0,64000
149,0,8,0,620448
151,2,11,0,195000
151,1,33,0,500000
151,3,5,0,55000
151,0,15,0,142000
62,1,2,0,3852
28,0,2,0,52942
39,3,28,2,138936
151,2,25,0,175000
151,0,20,0,120000
80,0,2,0,13092
151,0,23,0,83500
22,1,3,0,11820
146,0,3,2,4584
151,1,3,0,52000
69,1,11,0,48644
131,3,6,0,43239
151,0,10,0,200000
50,2,1,0,38915
105,1,11,2,107895
131,2,4,0,35672
151,1,5,0,95000
15,0,22,0,75669
151,0,4,0,90000
151,2,13,0,130000
149,0,25,2,168037
151,2,2,0,70000
149,0,6,0,54289
99,2,3,0,59454
151,3,6,0,160000
131,2,4,0,14268
149,2,2,0,73678
149,0,5,0,41363
149,0,2,0,7390
144,0,3,0,657
50,0,15,0,118908
98,0,10,0,5256
39,3,6,0,66000
151,0,7,0,74000
149,0,4,0,563052
151,0,8,0,170000
64,0,3,0,25656
28,0,3,0,41597
151,1,10,0,115000
28,0,19,0,79413
151,0,38,0,170000
151,0,2,0,2000000
149,2,6,0,96945
35,1,10,2,194580
154,1,2,2,3600
50,0,22,0,64859
151,1,7,0,100000
151,1,34,0,115000
22,0,3,0,4500
66,2,25,2,151337
28,1,7,0,45379
28,0,8,0,71850
151,0,10,0,250000
91,3,10,0,25860
151,0,20,0,180000
151,0,18,0,1260000
95,3,6,0,21312
151,0,14,0,125000
105,0,0.5,0,58803
151,1,4,0,105000
151,2,7,0,165000
50,2,5,2,51887
151,0,24,0,130000
124,3,19,0,150000
151,0,4,0,61949
151,0,0.5,0,72000
149,1,1,0,23913
149,2,19,0,64630
151,0,1,0,138061
54,1,12,0,30148
22,2,14,0,24744
149,1,20,2,64630
36,3,5,0,20784
151,0,5,0,110000
151,1,21,2,60000
151,0,5,0,135000
151,1,15,0,65000
137,0,2,0,2328
8,1,29,0,81074
50,2,6,0,86478
62,2,5,0,34904
151,0,1,0,60000
151,0,4,0,93000
151,0,26,0,170000
149,0,25,2,124089
33,1,20,2,120000
151,0,1,0,82000
151,3,10,2,0
151,0,3,0,89000
28,2,3,0,58992
151,0,15,0,160000
68,1,7,0,63036
151,2,2,0,71000
69,1,4,0,27025
151,0,5,0,105000
151,1,6,0,85000
151,0,6,0,66000
50,2,10,0,75669
33,2,11,2,53700
50,2,10,0,59454
66,3,3,0,109179
42,0,4,0,6156
149,3,23,2,1000000
28,0,9,0,68068
91,0,2,0,16164
151,2,8,0,185000
91,0,8,0,20688
151,1,10,0,108655
151,0,20,0,170000
151,2,15,0,125000
149,0,7,0,37744
151,0,2,0,90000
12,0,3,2,5652
151,0,4,0,125000
28,1,10,0,45379
110,1,4,0,12420
28,0,6,0,60505
28,0,8,0,113447
28,0,10,0,86976
126,1,0.5,1,8304
50,2,1,0,38916
151,0,12,0,100000
151,0,10,0,145000
151,0,10,0,115000
151,1,3,0,100000
28,2,5,0,1000000
151,0,16,0,170000
113,2,11,0,54049
149,2,11,0,1000000
151,2,9,0,83500
28,1,16,0,75631
12,0,4,0,9888
151,0,10,0,300000
149,3,3,0,41363
22,3,10,0,35506
28,0,4,0,86220
136,0,10,0,1000000
64,0,12,0,57000
50,1,3,0,38915
62,0,3,0,9075
151,0,5,0,150000
47,0,13,0,38916
99,0,26,2,32429
103,0,10,2,1644
151,0,6,0,143663
62,0,5,0,1955
151,0,6,0,100000
135,0,25,0,54120
8,2,6,0,44100
151,0,7,0,80000
151,2,5,0,85000
151,0,5,0,105000
104,2,17,2,38915
50,0,7,2,97284
151,0,25,0,180000
151,0,3,0,576000
151,2,7,0,145000
151,0,18,2,120000
151,0,15,0,120000
131,2,2,0,22701
151,0,8,0,2000000
148,0,6,0,42468
117,0,7,2,45396
151,0,9,0,78000
149,0,17,0,187426
152,1,9,2,9456
91,2,11,0,71100
151,0,7,0,168000
151,0,4,0,80000
14,0,4,0,26400
151,0,19,0,155000
28,2,5,0,49160
135,1,9,0,56460
151,2,6,0,200000
48,2,4,0,48648
50,1,4,0,42804
112,1,2,0,20352
151,2,35,0,172000
151,0,4,0,61000
151,0,33,0,135000
22,0,6,0,27488
151,1,6,0,120000
151,0,7,0,90000
118,1,30,0,33024
69,1,17,0,75669
36,1,11,2,41568
151,2,13,0,2000000
151,0,14,0,120000
149,0,2,2,109850
151,1,3,0,52500
149,0,3,0,72385
62,1,2,0,2508
28,2,5,0,60505
151,2,10,0,46513
144,2,4,0,29580
151,0,0.5,0,110000
28,0,10,0,69581
151,1,3,0,2000000
151,0,10,0,130000
149,1,8,0,84019
149,0,2,0,67215
151,1,24,0,180000
22,1,3,2,13740
151,0,8,0,70000
151,1,27,2,120000
151,0,2,0,89600
133,0,5,0,12000
129,0,2,0,30420
149,2,20,0,84019
151,0,21,0,140000
8,2,4,0,52968
28,1,20,0,75631
62,2,3,0,23037
151,0,15,0,150000
151,0,7,0,80000
22,1,0.5,0,4128
48,0,2,1,19452
42,2,6,0,3072
135,2,6,0,50316
117,2,7,0,29856
62,0,2,0,4692
151,0,28,0,280000
36,1,4,0,33780
151,0,13,0,137000
28,2,21,0,70337
28,2,4,0,66556
69,1,6,0,18156
151,2,20,0,1440000
22,0,3,0,27492
151,2,10,0,112500
28,0,7,0,65799
151,2,11,2,45000
28,2,19,0,60505
151,2,16,0,260000
151,1,5,0,95000
91,0,3,1,5172
151,0,3,0,57500
151,1,1,0,42500
151,1,14,2,135000
151,0,8,0,108000
151,0,1,0,74000
149,3,16,0,64630
151,1,8,0,78377
28,0,5,0,56723
149,2,7,0,96945
144,0,4,2,3984
149,2,2,0,71093
22,1,4,0,13740
111,2,1,0,1592
28,2,5,0,93594
151,0,1,0,60000
151,0,4,2,0
151,2,10,0,2000000
151,2,16,0,128000
8,2,26,0,83236
151,0,3,0,1140000
151,1,27,0,80000
28,1,3,0,68068
151,3,6,0,140000
8,0,4,0,30000
151,1,20,0,2000000
14,0,4,0,38124
151,1,36,0,140000
28,0,7,0,37816
151,0,7,0,107000
151,0,5,0,80000
91,0,13,0,25860
151,0,3,0,85000
151,0,15,0,135000
151,0,12,0,65395
151,0,6,0,118000
151,0,2,0,60000
151,0,40,0,150000
135,0,5,0,589116
151,0,4,0,84500
62,0,23,0,55847
28,0,8,0,109665
151,2,15,0,150000
151,0,12,0,110000
151,1,20,0,120000
135,1,6,0,60138
151,0,8,0,130000
151,0,4,0,90000
151,0,22,0,200000
52,0,2,0,14268
151,2,3,0,65000
62,0,8,0,594539
107,0,13,0,36576
151,1,18,2,48000
151,1,32,0,120000
151,1,0.5,0,55000
117,0,5,2,58368
50,2,20,0,87559
151,0,3,0,91000
151,3,20,0,150000
151,0,20,0,90000
151,0,24,0,210000
28,0,6,0,68824
151,0,7,0,2000000
149,2,22,0,67215
151,0,6,0,150000
151,0,7,0,123000
149,0,20,0,59459
5,0,6,0,22380
91,2,6,0,9696
151,1,15,0,90000
151,2,16,0,185000
151,0,8,0,77000
62,2,2,0,20943
29,1,3,0,18060
151,0,5,0,130000
39,2,22,0,120000
112,2,4,0,33408
151,0,8,0,165000
28,2,1,2,1000000
151,1,10,0,137000
28,0,10,2,163368
151,0,19,0,220000
151,0,15,0,200000
117,1,8,0,64860
151,0,33,0,180000
151,0,20,0,25000
151,0,14,0,120000
151,1,9,0,145000
22,0,4,0,14292
151,2,8,0,60000
151,0,5,0,280000
50,2,24,0,48384
28,0,5,0,52942
151,1,3,0,58000
151,2,6,0,90000
72,1,12,0,25392
151,0,10,0,130000
64,1,4,0,22800
47,1,8,0,51888
151,1,20,0,145000
47,2,20,0,66156
8,1,2,0,24000
151,0,1,0,48000
149,0,2,0,38778
151,2,26,2,125000
151,1,6,0,68000
151,0,5,0,105000
151,0,4,0,42000
151,0,8,0,95000
151,0,5,0,151000
50,0,8,0,55776
151,1,20,0,215000
151,0,2,0,80000
151,0,6,0,110000
151,0,8,0,400000
22,3,4,0,10992
151,2,20,0,100000
151,0,10,0,138000
151,0,3,1,25000
149,0,2,2,0
151,0,2,0,64800
151,0,1,0,85000
151,0,15,0,480000
151,0,9,0,88000
151,0,6,0,70000
149,2,11,0,69800
50,1,20,1,25944
42,0,4,0,13464
68,1,1,0,59544
149,1,10,0,46533
69,2,1,0,20539
151,0,3,0,101000
151,0,16,0,2000000
151,0,12,0,120000
151,1,14,0,250000
151,2,10,0,250000
151,2,2,0,936000
151,0,2,0,60040
151,0,16,0,135000
112,2,9,0,41916
151,3,11,0,500000
151,1,13,0,125000
151,0,9,0,150000
151,0,6,0,85000
151,0,30,0,140000
151,1,8,0,80000
151,2,34,2,220000
151,0,6,2,82000
151,2,11,0,104000
151,0,7,0,126480
28,0,22,0,83194
151,0,8,0,92000
28,1,4,2,105884
151,1,3,0,80000
151,0,34,0,113000
28,0,20,0,90758
28,0,3,0,62774
151,0,10,0,300000
151,0,4,0,100000
151,1,21,0,95000
28,0,5,0,60505
28,2,8,0,71093
151,2,3,0,2000000
60,0,5,2,64000
22,2,15,0,82464
28,1,8,0,60505
151,2,8,0,129000
151,0,30,0,130000
135,3,1,0,45312
151,0,3,0,85000
98,0,4,0,5256
151,2,6,0,90000
135,0,11,0,55224
151,0,8,0,112000
5,0,21,0,26664
28,1,0.5,0,31750
151,1,2,0,82500
151,0,3,0,110000
62,0,3,0,6981
49,0,6,0,21204
144,0,5,0,20712
66,1,22,0,151337
151,0,2,0,60000
113,0,5,0,36753
28,2,18,0,83194
5,3,10,0,9144
39,0,12,0,78156
151,2,5,0,106000
136,0,7,0,101649
151,1,27,0,138162
112,1,17,2,36444
151,0,7,0,1356000
151,0,14,0,200000
151,0,3,0,65500
151,0,20,0,138000
151,3,19,0,75000
151,1,9,0,100000
131,0,12,0,35672
64,2,8,0,28500
151,0,8,0,350000
28,1,14,0,167901
151,0,5,0,137355
151,1,6,0,70848
151,1,3,0,48000
151,1,2,0,86000
149,2,5,0,77633
151,1,1,0,157500
12,0,6,0,21192
151,1,3,0,2000000
151,0,5,0,96000
151,0,19,1,90000
151,0,5,0,125000
151,0,11,0,160000
69,2,19,2,108098
8,1,15,0,108098
151,0,35,0,180000
151,0,3,0,80000
50,1,20,0,75669
151,2,3,0,138000
28,0,14,0,77900
151,2,7,0,93500
151,2,39,0,141500
28,2,10,0,51051
151,1,3,2,20000
151,0,1,0,75000
151,3,3,0,110000
151,0,30,0,125000
151,2,20,0,175000
151,0,2,0,92000
50,3,8,0,69183
48,0,3,0,46482
28,0,3,0,41597
28,3,2,0,499164
149,1,20,2,77556
5,0,5,0,11676
151,0,4,0,65000
22,2,18,2,60480
151,3,7,0,95000
62,0,5,0,12217
151,1,20,0,115000
151,0,25,0,96000
151,1,15,0,180000
50,0,7,0,50806
151,2,10,0,390000
64,2,10,0,25656
48,2,8,0,45401
99,1,5,0,51887
151,0,5,0,74986
50,0,2,0,59454
151,0,2,0,85000
22,2,4,0,29321
151,0,3,0,76092
151,0,1,0,80000
22,2,19,0,38484
151,0,8,0,2000000
151,0,4,0,1260000
91,0,3,0,25536
151,0,7,0,126500
151,1,21,0,135000
151,0,12,0,104000
149,3,5,0,71093
99,2,12,0,162147
131,2,3,0,47563
28,0,6,0,75631
28,2,15,2,127056
28,0,12,0,60505
47,2,15,0,84312
22,0,15,0,32988
151,1,3,0,55620
112,2,9,0,212625
151,1,4,0,72000
107,0,2,0,13224
52,2,2,0,24214
72,0,8,0,28776
151,0,3,0,131657
151,0,2,0,124000
151,2,3,0,230000
151,1,0.5,0,55000
62,0,3,0,5028
151,0,1,0,108000
50,0,10,0,699394
51,0,8,0,4488
129,1,23,2,266864
151,0,1,0,72000
151,0,10,0,50000
151,0,25,0,117000
47,1,1,1,14136
151,1,25,0,180000
15,3,22,0,32429
151,1,10,0,60000
147,2,4,0,48936
12,1,8,0,7068
66,2,19,0,1000000
151,0,10,0,66536
151,1,2,0,52000
50,2,11,0,81074
151,0,2,0,125000
151,0,40,0,200000
151,1,21,2,120000
113,0,8,0,25944
60,2,3,0,19248
151,0,2,0,72000
28,0,6,0,59749
28,0,9,0,80925
151,0,1,0,45000
151,0,7,0,150000
28,1,8,0,66150
151,0,10,0,96000
151,0,7,0,1020000
151,0,10,0,165000
118,2,15,2,18876
151,3,50,0,250000
28,0,3,0,64287
48,3,13,0,75669
151,0,3,0,129500
151,1,4,0,90205
135,3,38,0,79776
14,2,15,0,54468
151,0,13,0,63500
117,0,20,2,103776
151,0,5,0,120000
28,1,26,0,79413
91,0,3,0,8400
151,0,0.5,0,80000
151,1,10,0,125000
50,0,5,0,59454
151,0,15,0,130000
151,0,14,0,150000
28,0,2,0,1000000
151,1,4,0,87000
22,0,4,0,12372
99,0,3,0,40212
50,1,3,0,12324
151,2,5,0,75000
151,1,6,0,55000
118,2,9,2,28308
28,0,6,0,69399
151,0,7,0,130000
151,0,10,0,135000
39,1,37,2,94075
151,1,16,0,100000
99,0,6,0,54852
48,2,5,0,41077
151,1,25,0,2000000
28,1,0.5,0,41597
151,0,14,0,2000000
151,0,14,0,600000
5,1,12,2,7788
52,0,3,0,17296
112,0,3,2,30372
151,0,9,0,155000
151,0,6,0,45000
28,0,8,2,27228
52,0,2,0,7788
151,0,0.5,0,70000
28,0,5,0,54833
151,0,9,0,170000
151,0,3,0,69000
28,0,2,0,50673
151,1,25,0,110000
105,2,12,0,155000
151,0,7,0,99000
151,0,4,0,63000
151,0,12,0,85000
151,0,3,0,50000
151,0,22,0,215000
28,2,12,0,103615
151,0,20,0,120000
149,1,1,0,25852
28,1,0.5,0,46891
151,0,22,0,159000
151,2,9,0,91000
64,2,5,1,21375
68,0,30,0,60000
112,1,13,2,23088
151,1,0.5,2,48000
131,2,5,0,38915
99,2,10,2,140527
112,1,2,2,27336
149,0,13,1,24384
48,3,6,0,56751
151,0,5,0,60000
151,0,13,0,85000
151,0,4,0,76500
149,2,22,0,1000000
62,2,9,0,36024
151,1,12,0,100000
28,0,6,0,56723
151,1,2,0,56000
151,2,17,0,122000
151,1,1,0,140000
151,0,8,0,89900
151,0,13,0,118500
151,1,10,0,130000
151,2,5,0,108000
151,0,17,0,142000
50,3,8,0,64859
151,0,15,0,190000
107,0,2,0,3888
5,1,4,0,19464
151,0,6,0,150000
151,1,1,1,100800
151,0,14,0,103000
151,0,20,0,110000
151,0,2,0,150000
151,0,12,0,240000
151,0,2,0,110000
29,0,10,0,30108
151,0,2,0,60000
151,1,11,0,90000
151,0,22,0,95000
151,2,20,0,650000
151,2,7,0,211000
151,2,7,0,65000
151,0,4,0,67000
151,2,5,2,201500
22,0,2,0,5496
151,1,16,0,44000
151,1,2,0,100000
149,0,8,0,90482
151,2,5,0,135000
91,1,4,0,29088
151,2,15,0,163000
29,1,23,0,100602
151,0,2,0,130000
151,0,12,0,310000
91,0,8,0,39168
47,2,18,0,71340
151,0,12,0,100000
28,1,8,0,90758
32,0,1,0,23968
151,0,16,0,135000
28,1,13,0,52186
62,2,0.5,0,3180
8,2,20,2,97284
149,0,2,0,31669
147,0,11,0,58728
151,0,30,0,200000
144,0,4,0,17748
22,0,2,0,4128
112,0,9,0,50124
151,2,14,0,100000
99,2,10,2,108098
147,0,15,0,114000
151,0,23,2,55000
28,0,1,0,52942
151,0,31,0,120000
28,1,10,0,43110
151,1,3,0,50000
151,0,4,0,110000
149,0,1,0,29360
151,0,9,0,0
151,0,10,0,85000
151,0,20,0,170000
22,0,4,2,21996
151,1,12,0,135000
28,2,13,0,71850
151,3,32,0,127114
49,0,12,0,33924
64,0,8,0,8556
62,2,5,2,37272
28,0,9,0,88489
48,2,3,0,64859
28,1,15,0,49917
22,2,9,2,15120
68,0,3,0,73548
91,3,10,0,21336
62,2,21,2,100524
151,1,20,0,146000
122,0,4,0,95208
151,1,10,0,75000
151,0,6,0,79000
151,3,2,0,90000
98,0,10,0,18912
151,0,37,0,11500
151,2,41,0,192000
151,1,14,0,250000
151,2,16,0,180000
99,2,18,0,70264
151,0,12,0,155000
39,2,35,2,217100
148,2,3,0,32664
151,2,2,0,115000
28,1,3,0,36303
50,1,18,0,75240
112,1,9,2,69864
151,1,5,0,170000
149,0,12,0,135722
22,0,16,0,43428
151,0,0.5,0,62000
151,0,4,0,92500
151,0,6,0,80000
151,0,5,0,92000
151,1,2,0,68000
29,1,9,0,105372
151,3,10,0,130000
28,0,3,0,56723
107,2,7,0,11676
151,0,31,0,120000
50,1,6,0,54806
151,3,45,0,150000
151,0,40,0,200000
62,2,10,0,32112
31,2,18,0,144
151,2,13,0,115000
151,1,10,0,142200
62,1,7,0,8712
151,0,6,0,115000
151,0,4,0,80000
151,2,10,0,115000
151,2,5,0,60000
151,0,5,0,140000
129,0,6,0,40032
151,0,36,0,116000
50,2,22,0,77831
151,3,18,0,145000
151,2,5,0,80000
28,1,5,0,49160
151,0,23,0,130000
151,0,7,0,140000
151,1,2,1,13000
151,0,9,0,95
151,0,8,0,105000
129,2,18,0,55508
149,2,8,0,82726
149,0,2,0,22620
151,0,39,0,150000
52,1,20,2,389153
151,1,38,0,98000
151,0,5,0,112500
151,1,5,0,107000
151,0,25,0,60000
151,2,9,0,100000
